dorm_name,capacity,latitude,longitude,formatted_address,place_id
Alamito,505,29.8907069,-97.94214240000001,"102 Russell Cir, San Marcos, TX 78666, USA",ChIJXdq6QwCpXIYR3Llz2hvdYSY
Balcones,0,29.888411,-97.938351,"601 University Dr, San Marcos, TX 78666, USA",ChIJ3yStNnCoXIYRkulAp54VF3E
Bexar,202,29.8863769,-97.9480979,"100 Llano Cir, San Marcos, TX 78666, USA",ChIJ7Xcbw2-oXIYR1YezPAGFypY
Blanco,594,29.8871351,-97.95191439999999,"701 Moore St, San Marcos, TX 78666, USA",ChIJf9dt43CoXIYR0Mc75Frp3BI
Bobcat Village Apartments,0,29.8931366,-97.92225669999999,"1301 Aquarena Springs Dr, San Marcos, TX 78666, USA",ChIJdfj5QEmoXIYRv3-CbegaNPE
Brogdon,115,29.8882987,-97.9399,"Brogdon Hall, 607 N Edward Gary St, San Marcos, TX 78666, USA",ChIJf317q2moXIYRK7pBUqDQWcU
Butler,236,29.8870394,-97.93896939999999,"500 N Edward Gary St, San Marcos, TX 78666, USA",ChIJOWRJE8qpXIYRkK3CBpJY7IE
Chautauqua,306,29.8904711,-97.946585,"302 Student Center Dr, San Marcos, TX 78666, USA",ChIJ_VMPEiKpXIYRtUs52qENkwk
Cibilo,501,29.8901193,-97.9424202,"102 Russell Cir, San Marcos, TX 78666, USA",ChIJrcEROQCpXIYR5-DxagFJLJ0
College Inn,280,29.88933089999999,-97.94639040000001,"College Inn, San Marcos, TX 78666, USA",ChIJ-xRyaG6oXIYRieyzW_66PtM
Cypress,0,29.888411,-97.938351,"601 University Dr, San Marcos, TX 78666, USA",ChIJ3yStNnCoXIYRkulAp54VF3E
Elena Zamora O'Shea,318,29.8900322,-97.953863,"130 Speck St, San Marcos, TX 78666, USA",ChIJ4SvwXgCpXIYRVSAMhrT-jvI
Falls,286,29.8863734,-97.9509257,"631 Moore St, San Marcos, TX 78666, USA",ChIJuXIVDHCoXIYR2stBG5sZu8o
First Five Freedom,280,29.8893152,-97.9535514,"951 Moore St, San Marcos, TX 78666, USA",ChIJ8-gdvO6pXIYRi9Ay_Ypg9vA
Gallardia,306,29.8900206,-97.94648389999999,"302 Student Center Dr Gaillardia Hall, San Marcos, TX 78666, USA",ChIJg9RIcG6oXIYR_9DJWT0XdT0
Jackson,423,29.8899181,-97.9445478,"702 Tomas Rivera Dr, San Marcos, TX 78666, USA",ChIJf_cWl26oXIYRMBVJBNd-laU
Lantana,239,29.8870106,-97.93973229999999,"San Marcos, TX 78666, USA",ChIJKe_XMKGpXIYRnBrcnmjt0fE
Laurel,141,29.8876145,-97.94060139999999,"Laurel Hall, 600 N LBJ Dr, San Marcos, TX 78666, USA",ChIJsY74Y8WpXIYRakDZucAEauU
Mesquite,89,29.8881956,-97.94064399999999,"Beretta Hall, 616 N LBJ Dr, San Marcos, TX 78666, USA",ChIJU-CvsmWpXIYR6tcCkGrcnoE
Retama,129,29.88783,-97.941214,"Retama Hall, 611 N LBJ Dr, San Marcos, TX 78666, USA",ChIJZ6bn42ioXIYRMQEY2mUeFDo
San Jacinto,469,29.88692499999999,-97.94408299999999,"217 W Woods St, San Marcos, TX 78666, USA",ChIJu1pGPG-oXIYRzOmV31N-VjE
San Marcos,417,29.88692409999999,-97.9486761,"703 Academy St, San Marcos, TX 78666, USA",ChIJtQKhKHCoXIYRlEeOp5VKLRc
Sayers,292,29.8863734,-97.9509257,"631 Moore St, San Marcos, TX 78666, USA",ChIJuXIVDHCoXIYR2stBG5sZu8o
Sterry Hall,371,29.8863414,-97.9398855,"409 N Edward Gary St, San Marcos, TX 78666, USA",ChIJJRD_Y2ioXIYRLpx1xS-aZXY
Tower,434,29.8869345,-97.9430557,"101 W Woods St, San Marcos, TX 78666, USA",

